URL,Titel,Beschreibung,Ort,Land,Bezug,Lizenz,Staatlich_Öffentlich,lat,lon
https://open-data.europa.eu/de/about ,Offenes Datenportal der EU,,Europa,Europa,international,NA,Ja,48.5948367,7.7719195
https://www.mcloud.de/,mCloud,Die mCLOUD ist eine Rechercheplattform zu offenen Daten aus dem Bereich Mobilität und angrenzender Themen. ,Deutschland,Deutschland,national,NA,Ja,51.165691,10.451526
https://www.govdata.de/ ,GovData - das Datenportal für Deutschland,,Deutschland,Deutschland,national,NA,Ja,51.165691,10.451526
http://www.geodatenzentrum.de/geodaten/gdz_rahmen.gdz_div?gdz_spr=deu&gdz_akt_zeile=5&gdz_anz_zeile=0&gdz_user_id=0 ,Bundesamt für Kartographie und Geodäsie,Freie Daten und Dienste des BKG,Deutschland,Deutschland,national,NA,Ja,51.165691,10.451526
http://www.geoportal.de/ ,Geoportal.de - Geodaten aus Deutschland – GDI-DE,,Deutschland,Deutschland,national,NA,Ja,51.165691,10.451526
http://transparenz.bremen.de/,Transparenzportal Bremen,,Bremen,Deutschland,regional,NA,Ja,53.0792962,8.8016936
http://daten.berlin.de/,Offene Daten Berlin,,Berlin,Deutschland,regional,NA,Ja,52.5200066,13.404954
https://opendata.bayern.de/,Open Data Portal des Freistaats Bayern,,Bayern,Deutschland,regional,NA,Ja,48.7904472,11.4978895
https://daten.rlp.de/,Open-Government-Data-Portal Rheinland-Pfalz,,Rheinland-Pfalz,Deutschland,regional,NA,Ja,50.118346,7.3089527
https://open.nrw/de/dat_kat,Open Data | Open.NRW,,Nordrhein-Westfalen,Deutschland,regional,NA,Ja,51.4332367,7.6615938
http://www.opendata.sachsen.de/Daten_finden.htm,Open Data - Verfügbare Datenbestände des Freistaats Sachsen,,Sachsen,Deutschland,regional,NA,Ja,51.1045407,13.2017384
http://www.geoportal-th.de/de-de/downloadbereiche/downloadoffenegeodatenth%C3%BCringen.aspx ,Offene Geodaten Thüringen,,Thüringen,Deutschland,regional,NA,Ja,51.0109892,10.845346
http://transparenz.hamburg.de/transparenzportal-hamburg/,Transparenzportal Hamburg,,Hamburg,Deutschland,regional,NA,Ja,53.5510846,9.9936819
https://www.opendata-hro.de/ ,OpenData.HRO,,Hansestadt Rostock,Deutschland,kommunal,NA,Ja,54.0924406,12.0991466
https://www.offenedaten-koeln.de/,Offene Daten Köln,,Köln,Deutschland,kommunal,NA,Ja,50.937531,6.9602786
http://offenedaten.kdvz-frechen.de/,Offene Daten kdvz Rhein-Erft-Rur,"Stadt Kerpen, Gemeinde Kall, Stadt Brühl, Kreis Euskirchen, Stadt Elsdorf, Stadt Bergheim, Gemeinde Langerwehe, Gemeinde Hürtgenwald, Gemeinde Vettweiß, Stadt Jülich, Gemeinde Merzenich, Stadt Wesseling, Stadt Heimbach, Gemeinde Kreuzau, Stadt Linnich, Stadt Bad Münstereifel, Gemeinde Titz, Stadt Bedburg",Nordrhein-Westfalen,Deutschland,kommunal,NA,Ja,51.4332367,7.6615938
https://open.lklg.net,Open Data Portal Lüneburg,,Lüneburg,Deutschland,kommunal,NA,Ja,53.2464214,10.4115179
https://www.moers.de/de/rathaus/offene-daten-moers/,Offene Daten Moers,,Moers,Deutschland,kommunal,NA,Ja,51.4516041,6.6408148
https://opendata.gelsenkirchen.de,Offene Daten Gelsenkirchen,,Gelsenkirchen,Deutschland,kommunal,NA,Ja,51.517744,7.0857172
http://www.bonn.de/rat_verwaltung_buergerdienste/aktuelles/open_data/01727/index.html?lang=de,Open Data Katalog Bonn,,Bonn,Deutschland,kommunal,NA,Ja,50.73743,7.0982068
http://daten.ulm.de/,daten.ulm.de,,Ulm,Deutschland,kommunal,NA,Ja,48.4010822,9.9876076
https://www.offenedaten-wuppertal.de/,Offene Daten Wuppertal,,Wuppertal,Deutschland,kommunal,NA,Ja,51.2562128,7.1507636
http://www.offenedaten.frankfurt.de/about,offenedaten.frankfurt.de,,Frankfurt am Main,Deutschland,kommunal,NA,Ja,50.1109221,8.6821267
https://www.opengov-muenchen.de/,Open-Data-Portal München,,München,Deutschland,kommunal,NA,Ja,48.1351253,11.5819805
https://code-de.org,CODE-DE,Copernicus Data and Exploitation Platform – Deutschland,Deutschland,Deutschland,national,NA,Teilweise,51.165691,10.451526
