name,description,lon,lat,url,open_data_url
Aachen,,6.0838618,50.776351,http://aachen.de,http://daten.aachen.de
"Aachen, Städteregion",,6.0838618,50.776351,http://staedteregion-aachen.de,NA
Albig,,8.121674,49.7735056,NA,NA
Alsdorf,,6.47,49.89,NA,NA
Alzey,,8.1150946,49.7455695,NA,NA
Andernach,,7.3993254,50.4354202,NA,NA
Apps4Deutschland,"Diese Organization enthält besondere Datensätze, die im Rahmen des Apps4Deutschland-Wettbewerbs freigegeben wurden.",13.40565,52.53121,http://apps4deutschland.de/,NA
Arnsberg,,8.0605908,51.4002384,http://www.arnsberg.de,http://www.arnsberg.de/open-data
Augsburg,,10.8986971,48.3668041,http://augsburg.de,NA
Bad Dürkheim,,8.1705063,49.4632944,NA,NA
Baden-Württemberg,,9.1949534,48.6296972,http://baden-wuerttemberg.de,http://opendata.service-bw.de
Baindt,,9.6622081,47.8420535,http://baindt.de,NA
Baltrum,,7.39548387505676,53.72703795,NA,NA
Barbelroth,,8.0728342,49.101447,NA,NA
Bayern,,11.4038717,48.9467562,http://bayern.de,http://www.opendata.bayern.de
Bendorf,,7.5732901,50.4238296,NA,NA
Berlin,,13.3888599,52.5170365,http://berlin.de,http://daten.berlin.de
Bielefeld,,8.5308962,52.0207745,http://bielefeld.de,NA
Bitburg,,6.524947,49.9732762,NA,NA
Bochum,,7.2187465,51.482321,http://bochum.de,http://www.bochum.de/opendata
Bonn,,7.1006599,50.7358511,http://bonn.de,http://opendata.bonn.de
Boppard,,7.6000539,50.228893,NA,NA
Borkum,,6.69158131203533,53.5859383,NA,NA
Bottrop,,6.9160,51.5710,NA,NA
Braunschweig,,10.5203138303942,52.27165645,NA,http://www.braunschweig.de/opengeodata
Bremen,,8.80717,53.0758099,http://bremen.de,http://daten.bremen.de
Büchel,,7.0840762,50.1730329,NA,NA
Burg,,6.1326691,50.0482252,NA,NA
Burg Stargard,,13.3096742,53.4956329,http://burg-stargard.de,NA
Butjadingen,,8.35288707942149,53.545725,NA,NA
Chemnitz,,12.9252977,50.8322608,http://chemnitz.de,NA
